trade_id,entry_time,exit_time,pair,side,entry_price,exit_price,stop_loss,initial_lots,lot_size,tp1_closed_lots,tp2_closed_lots,runner_closed_lots,exit_reason,trade_state,is_partial,r_at_exit,tp1_r,tp2_r,pnl,pnl_pips,tp1_pnl,tp2_pnl,runner_pnl,sl_moved_to_be,sl_moved_to_profit,be_trigger_time,tp1_hit_time,tp2_hit_time,module
BT_2,2026-01-17T07:00:00,2026-01-20T06:00:00,EUR/USD,SELL,1.15950,1.16458,1.16455,0.07,0.07,0.00,0.00,0.07,STOPPED_OUT,STOPPED_OUT,No,-1.01,0.00,0.00,-35.56,0.0,0.00,0.00,-35.56,Yes,No,,,,TREND
BT_1,2026-01-16T20:00:00,2026-01-20T21:00:00,EUR/USD,BUY,1.16126,1.17162,1.16224,0.07,0.03,0.03,0.00,0.00,TP1 at +2.0R,TP1_HIT,Yes,2.11,2.11,0.00,31.08,103.6,31.08,0.00,0.00,Yes,Yes,,2026-01-20T21:00:00,,TREND
BT_1,2026-01-16T20:00:00,2026-01-24T05:00:00,EUR/USD,BUY,1.16126,1.17705,1.16224,0.07,0.02,0.00,0.02,0.00,TP2 at +3.0R,TP2_HIT,Yes,3.22,0.00,3.22,31.58,157.9,0.00,31.58,0.00,Yes,Yes,,2026-01-20T21:00:00,2026-01-24T05:00:00,TREND
BT_15,2026-01-21T15:00:00,2026-01-24T06:00:00,EUR/USD,SELL,1.17257,1.17942,1.17762,0.07,0.07,0.00,0.00,0.07,STOPPED_OUT,STOPPED_OUT,No,-1.36,0.00,0.00,-47.95,0.0,0.00,0.00,-47.95,Yes,No,,,,TREND
BT_1,2026-01-16T20:00:00,2026-01-26T19:00:00,EUR/USD,BUY,1.16126,1.18515,1.18540,0.07,0.07,0.03,0.02,0.02,RUNNER_STOPPED,RUNNER_STOPPED,No,4.88,2.11,3.22,110.44,0.0,31.08,31.58,47.78,Yes,Yes,2026-01-20T20:00:00,2026-01-20T21:00:00,2026-01-24T05:00:00,TREND
BT_31,2026-01-27T21:00:00,2026-01-28T01:00:00,EUR/USD,SELL,1.18599,1.19281,1.19104,0.07,0.07,0.00,0.00,0.07,STOPPED_OUT,STOPPED_OUT,No,-1.35,0.00,0.00,-47.74,0.0,0.00,0.00,-47.74,Yes,No,,,,TREND
BT_30,2026-01-27T05:00:00,2026-01-28T09:00:00,EUR/USD,BUY,1.18863,1.20292,1.18961,0.07,0.03,0.03,0.00,0.00,TP1 at +2.0R,TP1_HIT,Yes,2.92,2.92,0.00,42.87,142.9,42.87,0.00,0.00,Yes,Yes,,2026-01-28T09:00:00,,TREND
BT_30,2026-01-27T05:00:00,2026-01-28T10:00:00,EUR/USD,BUY,1.18863,1.20384,1.18961,0.07,0.02,0.00,0.02,0.00,TP2 at +3.0R,TP2_HIT,Yes,3.10,0.00,3.10,30.42,152.1,0.00,30.42,0.00,Yes,Yes,,2026-01-28T09:00:00,2026-01-28T10:00:00,TREND
BT_30,2026-01-27T05:00:00,2026-01-28T19:00:00,EUR/USD,BUY,1.18863,1.19950,1.19986,0.07,0.07,0.03,0.02,0.02,RUNNER_STOPPED,RUNNER_STOPPED,No,2.22,2.92,3.10,95.03,0.0,42.87,30.42,21.74,Yes,Yes,2026-01-28T04:00:00,2026-01-28T09:00:00,2026-01-28T10:00:00,TREND
BT_38,2026-01-29T16:00:00,2026-01-30T04:00:00,EUR/USD,BUY,1.19868,1.19294,1.19378,0.07,0.07,0.00,0.00,0.07,STOPPED_OUT,STOPPED_OUT,No,-1.17,0.00,0.00,-40.18,0.0,0.00,0.00,-40.18,Yes,No,,,,TREND
BT_37,2026-01-28T22:00:00,2026-01-31T06:00:00,EUR/USD,SELL,1.19861,1.18723,1.19760,0.07,0.03,0.03,0.00,0.00,TP1 at +2.0R,TP1_HIT,Yes,2.25,2.25,0.00,34.14,113.8,34.14,0.00,0.00,Yes,Yes,,2026-01-31T06:00:00,,TREND
BT_37,2026-01-28T22:00:00,2026-01-31T10:00:00,EUR/USD,SELL,1.19861,1.18503,1.19760,0.07,0.07,0.03,0.00,0.00,End of backtest,ENTRY_FILLED,No,0.00,2.25,0.00,88.46,0.0,34.14,0.00,0.00,Yes,Yes,2026-01-29T07:00:00,2026-01-31T06:00:00,,TREND
